OBJECTID,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m
4543229,17.9,0.0,35.520833333333336
4543264,32.7,0.0,15.541666666666666
4543267,30.85,0.0,15.5625
4543270,27.15,1.6,34.958333333333336
4543378,34.150000000000006,0.0,25.25
4543414,24.75,0.0,29.64583333333333
4543418,29.5,0.0,14.479166666666666
4543481,31.75,0.0,38.833333333333336
4543489,35.55,0.0,33.833333333333336
4543541,28.85,0.65,48.270833333333336
4543546,31.5,1.1,50.125
4543565,24.45,6.9,65.10416666666667
4543612,24.55,0.25,52.04166666666666
4543616,27.25,0.1,37.41666666666666
4543675,23.25,0.0,46.583333333333336
4543687,18.25,9.7,66.95833333333333
4543692,19.9,3.25,70.70833333333333
4543708,27.65,0.15,28.791666666666668
4543715,35.45,0.0,20.041666666666668
4543716,24.8,0.0,45.60416666666666
4543720,34.7,0.0,33.083333333333336
4543726,22.7,0.0,38.66666666666666
4543742,33.099999999999994,0.0,30.95833333333333
4543764,24.200000000000003,0.0,43.895833333333336
4543783,31.6,0.25,27.58333333333333
4543884,15.9,7.800000000000001,72.39583333333333
4543895,7.6,0.7,72.5625
4543913,31.35,0.0,22.666666666666668
4543931,22.85,0.25,42.875
4544225,28.700000000000003,0.15,40.91666666666666
4544233,30.55,0.2,37.54166666666666
4544238,27.5,0.15,36.79166666666666
4544369,27.35,0.0,52.25
4544505,14.05,0.1,45.395833333333336
4544508,23.450000000000003,0.3,61.72916666666666
4544514,22.9,0.0,46.0
4544517,26.8,0.0,53.41666666666666
4545049,30.15,0.0,34.583333333333336
4545050,29.95,0.0,34.666666666666664
4545053,29.25,0.0,27.64583333333333
4545054,31.15,0.0,26.25
4545100,20.3,7.55,77.85416666666667
4545175,18.65,0.35,64.0
4545418,32.2,0.15,30.25
4545439,30.9,0.0,50.520833333333336
4545483,17.25,0.0,59.0
4545484,22.5,0.0,61.91666666666666
4545486,18.85,3.6,64.6875
4545488,24.1,0.2,56.60416666666666
4545491,35.65,0.0,61.458333333333336
4545493,35.0,0.05,53.4375
4545498,35.2,0.25,57.208333333333336
4545502,31.6,0.35,61.60416666666666
4545505,28.55,0.0,58.333333333333336
4545506,28.85,0.0,59.3125
4545508,20.9,0.0,57.35416666666666
4545513,9.35,0.2,65.54166666666667
4545516,13.9,0.95,62.875
4545523,19.3,0.0,55.25
4545525,18.85,0.1,54.625
4545535,24.200000000000003,0.0,52.16666666666666
4545538,24.25,0.0,54.1875
4545548,32.2,0.15,67.35416666666667
4545567,15.55,0.15,53.833333333333336
4545584,23.05,0.5,76.35416666666667
4545596,19.5,0.0,49.25
4545602,23.7,0.0,45.895833333333336
4545612,29.55,3.65,71.10416666666667
4545616,36.6,0.1,62.083333333333336
4545617,36.95,0.1,60.91666666666666
4545622,36.35,0.0,57.25
4545624,36.25,0.3,56.75
4545625,35.95,0.05,56.5
4545630,34.55,0.6499999999999999,71.45833333333333
4545632,33.650000000000006,14.8,71.54166666666667
4545635,32.85,0.5,79.3125
4545637,33.3,4.0,82.3125
4545650,31.8,4.4,79.16666666666667
4545652,33.25,0.0,66.0
4545653,33.5,0.0,75.35416666666667
4545674,23.6,4.7,90.35416666666669
4545706,23.1,0.7000000000000001,82.79166666666667
4545712,20.3,0.0,59.0
4545727,35.349999999999994,0.0,52.458333333333336
4545748,7.949999999999999,0.65,74.33333333333333
4545756,10.9,0.0,53.020833333333336
4545781,17.65,0.0,51.395833333333336
4545782,17.65,0.0,51.395833333333336
4545784,22.25,0.0,59.125
4545785,22.45,0.0,61.645833333333336
4545787,23.65,0.7,71.04166666666667
4545790,23.25,0.0,60.9375
4545799,22.15,0.05,53.16666666666666
4545800,21.7,0.0,57.79166666666666
4545804,32.400000000000006,0.35,56.79166666666666
4545956,15.8,0.0,65.3125
4546004,14.4,0.0,55.4375
4546007,13.0,0.0,55.8125
4546015,16.35,0.0,65.39583333333333
4546018,17.1,0.45,64.75
4546019,16.95,0.05,61.208333333333336
4546023,19.0,0.2,57.29166666666666
4546027,24.25,1.5499999999999998,76.5625
4546029,23.55,1.2,76.83333333333333
4546030,25.75,0.0,59.10416666666666
4546031,23.4,0.0,51.29166666666666
4546034,24.75,0.1,52.79166666666666
4546040,14.65,5.3,52.75
4546041,20.200000000000003,0.2,48.72916666666666
4546043,22.25,0.0,63.4375
4546047,24.45,0.05,63.66666666666666
4546058,24.95,0.1,75.45833333333333
4546097,13.6,0.0,49.54166666666666
4546108,36.45,0.0,47.145833333333336
4546118,33.0,0.0,70.27083333333333
